Split,Ruta,Resolución,Corrupta
Training,data/raw/Training\meningioma\m1(4).jpg,"(210, 240)",False
Training,data/raw/Training\meningioma\m1(6).jpg,"(210, 240)",False
Training,data/raw/Training\meningioma\m1(8).jpg,"(213, 236)",False
Training,data/raw/Training\meningioma\m1(9).jpg,"(224, 216)",False
Training,data/raw/Training\meningioma\m1(92).jpg,"(219, 234)",False
Training,data/raw/Training\meningioma\m1(93).jpg,"(202, 223)",False
Training,data/raw/Training\meningioma\m1(94).jpg,"(229, 223)",False
Training,data/raw/Training\meningioma\m1(95).jpg,"(206, 249)",False
Training,data/raw/Training\meningioma\m3 (130).jpg,"(180, 218)",False
Training,data/raw/Training\meningioma\m3 (136).jpg,"(216, 234)",False
Training,data/raw/Training\meningioma\m3 (137).jpg,"(226, 223)",False
Training,data/raw/Training\meningioma\me-0022.jpg,"(212, 237)",False
Training,data/raw/Training\meningioma\me-0050.jpg,"(234, 216)",False
Training,data/raw/Training\meningioma\me-0100.jpg,"(224, 216)",False
Training,data/raw/Training\meningioma\me-0142.jpg,"(216, 234)",False
Training,data/raw/Training\meningioma\me-0143.jpg,"(226, 223)",False
Training,data/raw/Training\meningioma\me-0151.jpg,"(206, 245)",False
Training,data/raw/Training\meningioma\me-0189.jpg,"(213, 236)",False
Training,data/raw/Training\meningioma\me-0211.jpg,"(211, 239)",False
Training,data/raw/Training\meningioma\me-0236.jpg,"(215, 220)",False
Training,data/raw/Training\meningioma\me-0276.jpg,"(216, 216)",False
Training,data/raw/Training\meningioma\me-0330.jpg,"(180, 218)",False
Training,data/raw/Training\meningioma\me-0361.jpg,"(226, 212)",False
Training,data/raw/Training\meningioma\me-0418.jpg,"(208, 243)",False
Training,data/raw/Training\meningioma\me-0419.jpg,"(206, 245)",False
Training,data/raw/Training\meningioma\me-0423.jpg,"(208, 243)",False
Training,data/raw/Training\meningioma\me-0427.jpg,"(213, 237)",False
Training,data/raw/Training\meningioma\me-0506.jpg,"(212, 237)",False
Training,data/raw/Training\meningioma\me-0515.jpg,"(201, 251)",False
Training,data/raw/Training\meningioma\me-0516.jpg,"(214, 216)",False
Training,data/raw/Training\meningioma\me-0520.jpg,"(216, 216)",False
Training,data/raw/Training\meningioma\me-0604.jpg,"(214, 235)",False
Training,data/raw/Training\meningioma\me-0612.jpg,"(215, 234)",False
Training,data/raw/Training\meningioma\me-0652.jpg,"(214, 216)",False
Training,data/raw/Training\meningioma\me-0693.jpg,"(200, 252)",False
Training,data/raw/Training\meningioma\me-0782.jpg,"(238, 212)",False
Training,data/raw/Training\meningioma\me-0787.jpg,"(209, 241)",False
Training,data/raw/Training\meningioma\me-0796.jpg,"(211, 239)",False
Training,data/raw/Training\meningioma\me-0830.jpg,"(210, 240)",False
Training,data/raw/Training\meningioma\me-0872.jpg,"(200, 235)",False
Training,data/raw/Training\meningioma\me-0876.jpg,"(200, 236)",False
Training,data/raw/Training\meningioma\me-0883.jpg,"(226, 214)",False
Training,data/raw/Training\meningioma\me-0884.jpg,"(200, 223)",False
Training,data/raw/Training\meningioma\me-0959.jpg,"(212, 238)",False
Training,data/raw/Training\meningioma\me-0963.jpg,"(221, 228)",False
Training,data/raw/Training\meningioma\me-0968.jpg,"(200, 252)",False
Training,data/raw/Training\meningioma\me-0971.jpg,"(215, 220)",False
Training,data/raw/Training\meningioma\me-1040.jpg,"(224, 219)",False
Training,data/raw/Training\meningioma\me-1058.jpg,"(201, 251)",False
Training,data/raw/Training\meningioma\me-1096.jpg,"(202, 223)",False
Training,data/raw/Training\meningioma\me-1179.jpg,"(219, 234)",False
Training,data/raw/Training\meningioma\me-1190.jpg,"(229, 223)",False
Training,data/raw/Training\meningioma\me-1230.jpg,"(205, 251)",False
Training,data/raw/Training\meningioma\me-1231.jpg,"(201, 207)",False
Training,data/raw/Training\meningioma\me-1239.jpg,"(204, 249)",False
Training,data/raw/Training\meningioma\me-1263.jpg,"(213, 237)",False
Training,data/raw/Training\meningioma\me-1277.jpg,"(206, 249)",False
Training,data/raw/Training\meningioma\me-1336.jpg,"(209, 225)",False
Training,data/raw/Training\meningioma\me-1406.jpg,"(201, 251)",False
Training,data/raw/Training\meningioma\me-1425.jpg,"(217, 232)",False
Training,data/raw/Training\meningioma\me-1446.jpg,"(200, 223)",False
Training,data/raw/Training\meningioma\me-1471.jpg,"(201, 251)",False
Training,data/raw/Training\meningioma\me-1473.jpg,"(213, 236)",False
Training,data/raw/Training\meningioma\me-1474.jpg,"(209, 241)",False
Training,data/raw/Training\meningioma\me-1485.jpg,"(200, 235)",False
Training,data/raw/Training\meningioma\me-1487.jpg,"(224, 216)",False
Training,data/raw/Training\meningioma\me-1488.jpg,"(214, 235)",False
Training,data/raw/Training\meningioma\me-1492.jpg,"(214, 216)",False
Training,data/raw/Training\meningioma\me-1494.jpg,"(206, 245)",False
Training,data/raw/Training\meningioma\me-1496.jpg,"(314, 195)",False
Training,data/raw/Training\meningioma\me-1505.jpg,"(174, 230)",False
Training,data/raw/Training\meningioma\me-1507.jpg,"(213, 237)",False
Training,data/raw/Training\meningioma\me-1508.jpg,"(210, 240)",False
Training,data/raw/Training\meningioma\me-1509.jpg,"(219, 234)",False
Training,data/raw/Training\meningioma\me-1512.jpg,"(228, 221)",False
Training,data/raw/Training\meningioma\me-1514.jpg,"(211, 239)",False
Training,data/raw/Training\meningioma\me-1516.jpg,"(217, 232)",False
Training,data/raw/Training\meningioma\me-1527.jpg,"(215, 234)",False
Training,data/raw/Training\meningioma\me-1528.jpg,"(212, 237)",False
Training,data/raw/Training\meningioma\me-1536.jpg,"(215, 220)",False
Training,data/raw/Training\meningioma\me-1545.jpg,"(216, 216)",False
Training,data/raw/Training\meningioma\me-1547.jpg,"(201, 251)",False
Training,data/raw/Training\meningioma\me-1555.jpg,"(200, 223)",False
Training,data/raw/Training\meningioma\me-1561.jpg,"(204, 249)",False
Training,data/raw/Training\meningioma\me-1625.jpg,"(210, 240)",False
Training,data/raw/Training\meningioma\me-1650.jpg,"(201, 207)",False
Training,data/raw/Training\meningioma\me-1651.jpg,"(205, 251)",False
Training,data/raw/Training\meningioma\me-1660.jpg,"(201, 251)",False
Training,data/raw/Training\meningioma\me-1678.jpg,"(228, 221)",False
Training,data/raw/Training\meningioma\me-1685.jpg,"(200, 236)",False
Training,data/raw/Training\meningioma\me-1700.jpg,"(238, 212)",False
Training,data/raw/Training\meningioma\me-1701.jpg,"(212, 237)",False
Training,data/raw/Training\meningioma\me-1707.jpg,"(212, 238)",False
Training,data/raw/Training\meningioma\me-1720.jpg,"(208, 243)",False
Training,data/raw/Training\meningioma\me-1731.jpg,"(200, 252)",False
Training,data/raw/Training\meningioma\me-1732.jpg,"(224, 219)",False
Training,data/raw/Training\meningioma\me-1747.jpg,"(200, 223)",False
Training,data/raw/Training\meningioma\me-1748.jpg,"(226, 214)",False
Training,data/raw/Training\meningioma\me-1751.jpg,"(210, 240)",False
Training,data/raw/Training\meningioma\me-1752.jpg,"(206, 249)",False
Training,data/raw/Training\meningioma\me-1757.jpg,"(234, 216)",False
Training,data/raw/Training\meningioma\me-1771.jpg,"(221, 228)",False
Training,data/raw/Training\meningioma\Tr-me_0175.jpg,"(213, 237)",False
Training,data/raw/Training\meningioma\Tr-me_0185.jpg,"(226, 212)",False
Training,data/raw/Training\meningioma\Tr-me_0195.jpg,"(212, 237)",False
Training,data/raw/Training\meningioma\Tr-me_0198.jpg,"(200, 223)",False
Training,data/raw/Training\meningioma\Tr-me_0202.jpg,"(201, 207)",False
Training,data/raw/Training\meningioma\Tr-me_0206.jpg,"(209, 225)",False
Training,data/raw/Training\meningioma\Tr-me_0216.jpg,"(205, 251)",False
Training,data/raw/Training\meningioma\Tr-me_0217.jpg,"(204, 249)",False
Training,data/raw/Training\meningioma\Tr-me_0235.jpg,"(234, 216)",False
Training,data/raw/Training\meningioma\Tr-me_0239.jpg,"(217, 232)",False
Training,data/raw/Training\meningioma\Tr-me_0241.jpg,"(216, 216)",False
Training,data/raw/Training\meningioma\Tr-me_0243.jpg,"(206, 245)",False
Training,data/raw/Training\meningioma\Tr-me_0257.jpg,"(208, 243)",False
Training,data/raw/Training\meningioma\Tr-me_0258.jpg,"(221, 228)",False
Training,data/raw/Training\meningioma\Tr-me_0259.jpg,"(200, 252)",False
Training,data/raw/Training\meningioma\Tr-me_0260.jpg,"(226, 214)",False
Training,data/raw/Training\meningioma\Tr-me_0261.jpg,"(200, 236)",False
Training,data/raw/Training\meningioma\Tr-me_0262.jpg,"(238, 212)",False
Training,data/raw/Training\meningioma\Tr-me_0264.jpg,"(212, 238)",False
Training,data/raw/Training\meningioma\Tr-me_0265.jpg,"(215, 220)",False
Training,data/raw/Training\meningioma\Tr-me_0266.jpg,"(201, 251)",False
Training,data/raw/Training\meningioma\Tr-me_0268.jpg,"(212, 237)",False
Training,data/raw/Training\meningioma\Tr-me_0273.jpg,"(224, 219)",False
Training,data/raw/Training\meningioma\Tr-me_0274.jpg,"(200, 223)",False
Training,data/raw/Training\meningioma\Tr-me_0275.jpg,"(200, 235)",False
Training,data/raw/Training\meningioma\Tr-me_0276.jpg,"(209, 241)",False
Training,data/raw/Training\meningioma\Tr-me_0277.jpg,"(211, 239)",False
Training,data/raw/Training\meningioma\Tr-me_0278.jpg,"(215, 234)",False
Training,data/raw/Training\meningioma\Tr-me_0281.jpg,"(213, 237)",False
Training,data/raw/Training\meningioma\Tr-me_0282.jpg,"(214, 216)",False
Training,data/raw/Training\meningioma\Tr-me_0283.jpg,"(201, 251)",False
Training,data/raw/Training\meningioma\Tr-me_0292.jpg,"(214, 235)",False
Training,data/raw/Training\meningioma\Tr-me_0303.jpg,"(210, 240)",False
Training,data/raw/Training\meningioma\Tr-me_0346.jpg,"(213, 236)",False
Training,data/raw/Training\meningioma\Tr-me_0357.jpg,"(224, 216)",False
Training,data/raw/Training\meningioma\Tr-me_0360.jpg,"(219, 234)",False
Training,data/raw/Training\meningioma\Tr-me_0361.jpg,"(202, 223)",False
Training,data/raw/Training\meningioma\Tr-me_0362.jpg,"(229, 223)",False
Training,data/raw/Training\meningioma\Tr-me_0363.jpg,"(206, 249)",False
Training,data/raw/Training\meningioma\Tr-me_0580.jpg,"(180, 218)",False
Training,data/raw/Training\meningioma\Tr-me_0586.jpg,"(216, 234)",False
Training,data/raw/Training\meningioma\Tr-me_0587.jpg,"(226, 223)",False
Training,data/raw/Training\notumor\8.jpg,"(220, 212)",False
Training,data/raw/Training\notumor\image (11).jpg,"(254, 198)",False
Training,data/raw/Training\notumor\image (22).jpg,"(206, 244)",False
Training,data/raw/Training\notumor\image (43).jpg,"(236, 218)",False
Training,data/raw/Training\notumor\image (55).jpg,"(205, 249)",False
Training,data/raw/Training\notumor\image (61).jpg,"(212, 236)",False
Training,data/raw/Training\notumor\image (7).jpg,"(209, 242)",False
Training,data/raw/Training\notumor\image (8).jpg,"(209, 242)",False
Training,data/raw/Training\notumor\image(10).jpg,"(227, 213)",False
Training,data/raw/Training\notumor\image(101).jpg,"(210, 213)",False
Training,data/raw/Training\notumor\image(102).jpg,"(233, 210)",False
Training,data/raw/Training\notumor\image(103).jpg,"(201, 251)",False
Training,data/raw/Training\notumor\image(106).jpg,"(210, 213)",False
Training,data/raw/Training\notumor\image(107).jpg,"(233, 210)",False
Training,data/raw/Training\notumor\image(108).jpg,"(201, 251)",False
Training,data/raw/Training\notumor\image(11).jpg,"(201, 249)",False
Training,data/raw/Training\notumor\image(111).jpg,"(204, 247)",False
Training,data/raw/Training\notumor\image(112).jpg,"(236, 216)",False
Training,data/raw/Training\notumor\image(116).jpg,"(235, 216)",False
Training,data/raw/Training\notumor\image(139).jpg,"(203, 243)",False
Training,data/raw/Training\notumor\image(141).jpg,"(233, 218)",False
Training,data/raw/Training\notumor\image(147).jpg,"(200, 210)",False
Training,data/raw/Training\notumor\image(151).jpg,"(232, 216)",False
Training,data/raw/Training\notumor\image(152).jpg,"(236, 223)",False
Training,data/raw/Training\notumor\image(158).jpg,"(236, 220)",False
Training,data/raw/Training\notumor\image(159).jpg,"(236, 222)",False
Training,data/raw/Training\notumor\image(164).jpg,"(201, 250)",False
Training,data/raw/Training\notumor\image(165).jpg,"(225, 218)",False
Training,data/raw/Training\notumor\image(169).jpg,"(201, 251)",False
Training,data/raw/Training\notumor\image(17).jpg,"(234, 218)",False
Training,data/raw/Training\notumor\image(171).jpg,"(220, 275)",False
Training,data/raw/Training\notumor\image(175).jpg,"(218, 231)",False
Training,data/raw/Training\notumor\image(176).jpg,"(228, 221)",False
Training,data/raw/Training\notumor\image(178).jpg,"(200, 200)",False
Training,data/raw/Training\notumor\image(18).jpg,"(208, 225)",False
Training,data/raw/Training\notumor\image(182).jpg,"(207, 243)",False
Training,data/raw/Training\notumor\image(184).jpg,"(208, 242)",False
Training,data/raw/Training\notumor\image(185).jpg,"(229, 214)",False
Training,data/raw/Training\notumor\image(187).jpg,"(232, 217)",False
Training,data/raw/Training\notumor\image(188).jpg,"(200, 252)",False
Training,data/raw/Training\notumor\image(19).jpg,"(205, 214)",False
Training,data/raw/Training\notumor\image(190).jpg,"(201, 251)",False
Training,data/raw/Training\notumor\image(192).jpg,"(212, 222)",False
Training,data/raw/Training\notumor\image(193).jpg,"(219, 211)",False
Training,data/raw/Training\notumor\image(197).jpg,"(228, 221)",False
Training,data/raw/Training\notumor\image(201).jpg,"(201, 251)",False
Training,data/raw/Training\notumor\image(207).jpg,"(330, 220)",False
Training,data/raw/Training\notumor\image(217).jpg,"(227, 222)",False
Training,data/raw/Training\notumor\image(23).jpg,"(234, 218)",False
Training,data/raw/Training\notumor\image(237).jpg,"(208, 248)",False
Training,data/raw/Training\notumor\image(238).jpg,"(220, 275)",False
Training,data/raw/Training\notumor\image(239).jpg,"(201, 250)",False
Training,data/raw/Training\notumor\image(245).jpg,"(210, 264)",False
Training,data/raw/Training\notumor\image(248).jpg,"(207, 207)",False
Training,data/raw/Training\notumor\image(263).jpg,"(202, 250)",False
Training,data/raw/Training\notumor\image(264).jpg,"(221, 257)",False
Training,data/raw/Training\notumor\image(275).jpg,"(208, 242)",False
Training,data/raw/Training\notumor\image(282).jpg,"(203, 248)",False
Training,data/raw/Training\notumor\image(290).jpg,"(232, 217)",False
Training,data/raw/Training\notumor\image(291).jpg,"(208, 278)",False
Training,data/raw/Training\notumor\image(292).jpg,"(220, 275)",False
Training,data/raw/Training\notumor\image(294).jpg,"(214, 236)",False
Training,data/raw/Training\notumor\image(295).jpg,"(216, 293)",False
Training,data/raw/Training\notumor\image(297).jpg,"(216, 302)",False
Training,data/raw/Training\notumor\image(3).jpg,"(209, 234)",False
Training,data/raw/Training\notumor\image(305).jpg,"(201, 244)",False
Training,data/raw/Training\notumor\image(309).jpg,"(217, 248)",False
Training,data/raw/Training\notumor\image(32).jpg,"(200, 248)",False
Training,data/raw/Training\notumor\image(325).jpg,"(222, 252)",False
Training,data/raw/Training\notumor\image(34).jpg,"(207, 225)",False
Training,data/raw/Training\notumor\image(37).jpg,"(200, 243)",False
Training,data/raw/Training\notumor\image(4).jpg,"(208, 217)",False
Training,data/raw/Training\notumor\image(47).jpg,"(211, 236)",False
Training,data/raw/Training\notumor\image(50).jpg,"(234, 218)",False
Training,data/raw/Training\notumor\image(52).jpg,"(210, 234)",False
Training,data/raw/Training\notumor\image(53).jpg,"(220, 275)",False
Training,data/raw/Training\notumor\image(61).jpg,"(218, 234)",False
Training,data/raw/Training\notumor\image(63).jpg,"(212, 280)",False
Training,data/raw/Training\notumor\image(70).jpg,"(233, 208)",False
Training,data/raw/Training\notumor\image(74).jpg,"(236, 221)",False
Training,data/raw/Training\notumor\image(77).jpg,"(236, 220)",False
Training,data/raw/Training\notumor\image(79).jpg,"(224, 223)",False
Training,data/raw/Training\notumor\image(85).jpg,"(236, 203)",False
Training,data/raw/Training\notumor\image(86).jpg,"(216, 202)",False
Training,data/raw/Training\notumor\image(90).jpg,"(236, 201)",False
Training,data/raw/Training\notumor\image(92).jpg,"(233, 222)",False
Training,data/raw/Training\notumor\image(95).jpg,"(226, 213)",False
Training,data/raw/Training\notumor\image(96).jpg,"(210, 201)",False
Training,data/raw/Training\notumor\image(99).jpg,"(235, 215)",False
Training,data/raw/Training\notumor\no-0001.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-0002.jpg,"(227, 222)",False
Training,data/raw/Training\notumor\no-0003.jpg,"(208, 248)",False
Training,data/raw/Training\notumor\no-0007.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-0009.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-0011.jpg,"(196, 257)",False
Training,data/raw/Training\notumor\no-0014.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0015.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-0016.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0019.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0021.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0025.jpg,"(214, 236)",False
Training,data/raw/Training\notumor\no-0035.jpg,"(233, 208)",False
Training,data/raw/Training\notumor\no-0036.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-0039.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0040.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0048.jpg,"(212, 238)",False
Training,data/raw/Training\notumor\no-0052.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0054.jpg,"(207, 243)",False
Training,data/raw/Training\notumor\no-0059.jpg,"(220, 275)",False
Training,data/raw/Training\notumor\no-0064.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0066.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-0069.jpg,"(207, 243)",False
Training,data/raw/Training\notumor\no-0077.jpg,"(215, 234)",False
Training,data/raw/Training\notumor\no-0079.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0085.jpg,"(208, 248)",False
Training,data/raw/Training\notumor\no-0086.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-0088.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0096.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0097.jpg,"(218, 234)",False
Training,data/raw/Training\notumor\no-0103.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-0105.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-0106.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0108.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-0113.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0117.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-0119.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-0121.jpg,"(205, 214)",False
Training,data/raw/Training\notumor\no-0131.jpg,"(177, 197)",False
Training,data/raw/Training\notumor\no-0134.jpg,"(235, 214)",False
Training,data/raw/Training\notumor\no-0135.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-0136.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0137.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0140.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0141.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-0143.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0144.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-0145.jpg,"(208, 242)",False
Training,data/raw/Training\notumor\no-0147.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0148.jpg,"(215, 234)",False
Training,data/raw/Training\notumor\no-0149.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0152.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-0153.jpg,"(229, 214)",False
Training,data/raw/Training\notumor\no-0154.jpg,"(214, 236)",False
Training,data/raw/Training\notumor\no-0157.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0162.jpg,"(330, 220)",False
Training,data/raw/Training\notumor\no-0163.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0164.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0166.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0167.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0175.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-0178.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0181.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-0183.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0192.jpg,"(212, 238)",False
Training,data/raw/Training\notumor\no-0194.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0198.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0199.jpg,"(214, 236)",False
Training,data/raw/Training\notumor\no-0207.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-0216.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0224.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0225.jpg,"(236, 213)",False
Training,data/raw/Training\notumor\no-0229.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0230.jpg,"(215, 234)",False
Training,data/raw/Training\notumor\no-0232.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0235.jpg,"(196, 257)",False
Training,data/raw/Training\notumor\no-0240.jpg,"(275, 183)",False
Training,data/raw/Training\notumor\no-0242.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0243.jpg,"(215, 234)",False
Training,data/raw/Training\notumor\no-0246.jpg,"(214, 236)",False
Training,data/raw/Training\notumor\no-0247.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0250.jpg,"(219, 211)",False
Training,data/raw/Training\notumor\no-0252.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-0253.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0254.jpg,"(227, 222)",False
Training,data/raw/Training\notumor\no-0255.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0256.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0257.jpg,"(236, 213)",False
Training,data/raw/Training\notumor\no-0259.jpg,"(227, 222)",False
Training,data/raw/Training\notumor\no-0260.jpg,"(220, 212)",False
Training,data/raw/Training\notumor\no-0263.jpg,"(215, 234)",False
Training,data/raw/Training\notumor\no-0264.jpg,"(236, 220)",False
Training,data/raw/Training\notumor\no-0266.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0268.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0275.jpg,"(194, 259)",False
Training,data/raw/Training\notumor\no-0276.jpg,"(207, 243)",False
Training,data/raw/Training\notumor\no-0277.jpg,"(254, 198)",False
Training,data/raw/Training\notumor\no-0279.jpg,"(196, 257)",False
Training,data/raw/Training\notumor\no-0287.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0299.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0301.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0303.jpg,"(208, 242)",False
Training,data/raw/Training\notumor\no-0307.jpg,"(227, 222)",False
Training,data/raw/Training\notumor\no-0308.jpg,"(212, 238)",False
Training,data/raw/Training\notumor\no-0310.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0312.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0313.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-0316.jpg,"(207, 243)",False
Training,data/raw/Training\notumor\no-0321.jpg,"(224, 223)",False
Training,data/raw/Training\notumor\no-0322.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0323.jpg,"(227, 222)",False
Training,data/raw/Training\notumor\no-0327.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0328.jpg,"(227, 222)",False
Training,data/raw/Training\notumor\no-0329.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-0331.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-0332.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0333.jpg,"(218, 231)",False
Training,data/raw/Training\notumor\no-0339.jpg,"(220, 275)",False
Training,data/raw/Training\notumor\no-0347.jpg,"(235, 214)",False
Training,data/raw/Training\notumor\no-0349.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0350.jpg,"(235, 214)",False
Training,data/raw/Training\notumor\no-0351.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-0352.jpg,"(218, 231)",False
Training,data/raw/Training\notumor\no-0353.jpg,"(212, 222)",False
Training,data/raw/Training\notumor\no-0354.jpg,"(275, 183)",False
Training,data/raw/Training\notumor\no-0355.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0357.jpg,"(236, 213)",False
Training,data/raw/Training\notumor\no-0359.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-0360.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0361.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0364.jpg,"(236, 221)",False
Training,data/raw/Training\notumor\no-0369.jpg,"(203, 243)",False
Training,data/raw/Training\notumor\no-0370.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0374.jpg,"(234, 218)",False
Training,data/raw/Training\notumor\no-0376.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0381.jpg,"(201, 250)",False
