Ruta,Resolución Original,Redimensionada,Resolución Final,Válida,Corrupta,Hash,Split,Clase
data/raw/Training\glioma\gg (123).jpg,"(512, 512)",False,"(512, 512)",True,False,956a3e7869782963,Training,glioma
data/raw/Training\glioma\gg (124).jpg,"(512, 512)",False,"(512, 512)",True,False,957a3b6a38f86161,Training,glioma
data/raw/Training\glioma\gg (125).jpg,"(512, 512)",False,"(512, 512)",True,False,955a3e7a38e46329,Training,glioma
data/raw/Training\glioma\gg (126).jpg,"(512, 512)",False,"(512, 512)",True,False,91653e4a3c697965,Training,glioma
data/raw/Training\glioma\gg (127).jpg,"(512, 512)",False,"(512, 512)",True,False,956a3e6b68612c67,Training,glioma
data/raw/Training\glioma\gg (128).jpg,"(512, 512)",False,"(512, 512)",True,False,c23d2f6821b36cc7,Training,glioma
data/raw/Training\glioma\gg (129).jpg,"(512, 512)",False,"(512, 512)",True,False,94693a6538e765b2,Training,glioma
data/raw/Training\glioma\gg (13).jpg,"(512, 512)",False,"(512, 512)",True,False,973c7af029c334c6,Training,glioma
data/raw/Training\glioma\gg (130).jpg,"(512, 512)",False,"(512, 512)",True,False,906f3a6d3ce160b6,Training,glioma
data/raw/Training\glioma\gg (131).jpg,"(512, 512)",False,"(512, 512)",True,False,906f3b693ce068b6,Training,glioma
data/raw/Training\glioma\gg (132).jpg,"(512, 512)",False,"(512, 512)",True,False,d06d2e2d3ce438b6,Training,glioma
data/raw/Training\glioma\gg (133).jpg,"(512, 512)",False,"(512, 512)",True,False,d06d2b3c69e43ce2,Training,glioma
data/raw/Training\glioma\gg (134).jpg,"(512, 512)",False,"(512, 512)",True,False,d22d2f3c39663463,Training,glioma
data/raw/Training\glioma\gg (135).jpg,"(512, 512)",False,"(512, 512)",True,False,c22c2f7c3d7134a3,Training,glioma
data/raw/Training\glioma\gg (136).jpg,"(512, 512)",False,"(512, 512)",True,False,c22c3f2c3ce634e3,Training,glioma
data/raw/Training\glioma\gg (137).jpg,"(512, 512)",False,"(512, 512)",True,False,c23c3f316cb364c6,Training,glioma
data/raw/Training\glioma\gg (138).jpg,"(512, 512)",False,"(512, 512)",True,False,c23c2f3469b67466,Training,glioma
data/raw/Training\glioma\gg (139).jpg,"(512, 512)",False,"(512, 512)",True,False,c23d2f706db26466,Training,glioma
data/raw/Training\glioma\gg (14).jpg,"(512, 512)",False,"(512, 512)",True,False,96267bc16465279b,Training,glioma
data/raw/Training\glioma\gg (140).jpg,"(512, 512)",False,"(512, 512)",True,False,c6393a613de66427,Training,glioma
data/raw/Training\glioma\gg (141).jpg,"(512, 512)",False,"(512, 512)",True,False,c36b3e2474993333,Training,glioma
data/raw/Training\glioma\gg (142).jpg,"(512, 512)",False,"(512, 512)",True,False,94c22b1e6b5b1e78,Training,glioma
data/raw/Training\glioma\gg (143).jpg,"(512, 512)",False,"(512, 512)",True,False,955a1e533b78614b,Training,glioma
data/raw/Training\glioma\gg (144).jpg,"(512, 512)",False,"(512, 512)",True,False,953a1f5a397a6119,Training,glioma
data/raw/Training\glioma\gg (145).jpg,"(512, 512)",False,"(512, 512)",True,False,957b3e4a39782949,Training,glioma
data/raw/Training\glioma\gg (146).jpg,"(512, 512)",False,"(512, 512)",True,False,95785e6168e325d6,Training,glioma
data/raw/Training\glioma\gg (147).jpg,"(512, 512)",False,"(512, 512)",True,False,95781f78686125e7,Training,glioma
data/raw/Training\glioma\gg (148).jpg,"(512, 512)",False,"(512, 512)",True,False,857a1f78686125b7,Training,glioma
data/raw/Training\glioma\gg (149).jpg,"(512, 512)",False,"(512, 512)",True,False,917a1f7a68696195,Training,glioma
data/raw/Training\glioma\gg (15).jpg,"(512, 512)",False,"(512, 512)",True,False,942e3ad1618f371b,Training,glioma
data/raw/Training\glioma\gg (150).jpg,"(512, 512)",False,"(512, 512)",True,False,953a1f7a3861638d,Training,glioma
data/raw/Training\glioma\gg (151).jpg,"(512, 512)",False,"(512, 512)",True,False,955a0f3a7a2178e5,Training,glioma
data/raw/Training\glioma\gg (152).jpg,"(512, 512)",False,"(512, 512)",True,False,917a1f787a6168c5,Training,glioma
data/raw/Training\glioma\gg (153).jpg,"(512, 512)",False,"(512, 512)",True,False,917a1f787b2063d1,Training,glioma
data/raw/Training\glioma\gg (154).jpg,"(512, 512)",False,"(512, 512)",True,False,95781f687a61629d,Training,glioma
data/raw/Training\glioma\gg (155).jpg,"(512, 512)",False,"(512, 512)",True,False,933e6ae069c3249f,Training,glioma
data/raw/Training\glioma\gg (156).jpg,"(512, 512)",False,"(512, 512)",True,False,913f7a646bc124c7,Training,glioma
data/raw/Training\glioma\gg (157).jpg,"(512, 512)",False,"(512, 512)",True,False,943f7a602be025e7,Training,glioma
data/raw/Training\glioma\gg (158).jpg,"(512, 512)",False,"(512, 512)",True,False,954e1e3b6e383961,Training,glioma
data/raw/Training\glioma\gg (159).jpg,"(512, 512)",False,"(512, 512)",True,False,815a1f6a3aec3939,Training,glioma
data/raw/Training\glioma\gg (16).jpg,"(512, 512)",False,"(512, 512)",True,False,c2cb3f97341c3278,Training,glioma
data/raw/Training\glioma\gg (160).jpg,"(512, 512)",False,"(512, 512)",True,False,815a1f6b3aec2939,Training,glioma
data/raw/Training\glioma\gg (161).jpg,"(512, 512)",False,"(512, 512)",True,False,815a5f3b3ae83938,Training,glioma
data/raw/Training\glioma\gg (162).jpg,"(512, 512)",False,"(512, 512)",True,False,91367a6325c96567,Training,glioma
data/raw/Training\glioma\gg (163).jpg,"(512, 512)",False,"(512, 512)",True,False,815a1f1a7aec3969,Training,glioma
data/raw/Training\glioma\gg (164).jpg,"(512, 512)",False,"(512, 512)",True,False,d40b3aef397b6120,Training,glioma
data/raw/Training\glioma\gg (165).jpg,"(512, 512)",False,"(512, 512)",True,False,d40b3ae9397e612c,Training,glioma
data/raw/Training\glioma\gg (166).jpg,"(512, 512)",False,"(512, 512)",True,False,d40b3ef9297e2960,Training,glioma
data/raw/Training\glioma\gg (167).jpg,"(512, 512)",False,"(512, 512)",True,False,d40b0efb39fc2960,Training,glioma
data/raw/Training\glioma\gg (168).jpg,"(512, 512)",False,"(512, 512)",True,False,d40b3ad839fb6168,Training,glioma
data/raw/Training\glioma\gg (169).jpg,"(512, 512)",False,"(512, 512)",True,False,95c22e5c3bde6039,Training,glioma
data/raw/Training\glioma\gg (17).jpg,"(512, 512)",False,"(512, 512)",True,False,c24f3f9674187269,Training,glioma
data/raw/Training\glioma\gg (170).jpg,"(512, 512)",False,"(512, 512)",True,False,95da2e503bde6039,Training,glioma
data/raw/Training\glioma\gg (171).jpg,"(512, 512)",False,"(512, 512)",True,False,95da2e523bcc603d,Training,glioma
data/raw/Training\glioma\gg (172).jpg,"(512, 512)",False,"(512, 512)",True,False,95c22f1c3bdb3829,Training,glioma
data/raw/Training\glioma\gg (173).jpg,"(512, 512)",False,"(512, 512)",True,False,94c33f1c6bd83c61,Training,glioma
data/raw/Training\glioma\gg (174).jpg,"(512, 512)",False,"(512, 512)",True,False,94ca3f1c6bd83c61,Training,glioma
data/raw/Training\glioma\gg (175).jpg,"(512, 512)",False,"(512, 512)",True,False,915a3f586bd83c61,Training,glioma
data/raw/Training\glioma\gg (176).jpg,"(512, 512)",False,"(512, 512)",True,False,91d23e593a1e6939,Training,glioma
data/raw/Training\glioma\gg (177).jpg,"(512, 512)",False,"(512, 512)",True,False,94c22b1c6bdb7839,Training,glioma
data/raw/Training\glioma\gg (178).jpg,"(512, 512)",False,"(512, 512)",True,False,95c23f1c6b397861,Training,glioma
data/raw/Training\glioma\gg (179).jpg,"(512, 512)",False,"(512, 512)",True,False,91ce3b1d6b396861,Training,glioma
data/raw/Training\glioma\gg (18).jpg,"(512, 512)",False,"(512, 512)",True,False,c24f3fb4741a7348,Training,glioma
data/raw/Training\glioma\gg (180).jpg,"(512, 512)",False,"(512, 512)",True,False,95793e6179c125c6,Training,glioma
data/raw/Training\glioma\gg (181).jpg,"(512, 512)",False,"(512, 512)",True,False,956a3e6269e065e6,Training,glioma
data/raw/Training\glioma\gg (182).jpg,"(512, 512)",False,"(512, 512)",True,False,956a3e6378e161a5,Training,glioma
data/raw/Training\glioma\gg (183).jpg,"(512, 512)",False,"(512, 512)",True,False,91347a3e29d13c67,Training,glioma
data/raw/Training\glioma\gg (184).jpg,"(512, 512)",False,"(512, 512)",True,False,91367a6325c96567,Training,glioma
data/raw/Training\glioma\gg (185).jpg,"(512, 512)",False,"(512, 512)",True,False,c3363fe034c9642f,Training,glioma
data/raw/Training\glioma\gg (186).jpg,"(512, 512)",False,"(512, 512)",True,False,956a7c686a612d67,Training,glioma
data/raw/Training\glioma\gg (187).jpg,"(512, 512)",False,"(512, 512)",True,False,956e7e6862e02967,Training,glioma
data/raw/Training\glioma\gg (188).jpg,"(512, 512)",False,"(512, 512)",True,False,857a7e686ae06963,Training,glioma
data/raw/Training\glioma\gg (189).jpg,"(512, 512)",False,"(512, 512)",True,False,855e7e787ae06125,Training,glioma
data/raw/Training\glioma\gg (19).jpg,"(512, 512)",False,"(512, 512)",True,False,c26b3f94741b33c8,Training,glioma
data/raw/Training\glioma\gg (190).jpg,"(512, 512)",False,"(512, 512)",True,False,851f7e786ae46921,Training,glioma
data/raw/Training\glioma\gg (191).jpg,"(512, 512)",False,"(512, 512)",True,False,851a7e797ae06929,Training,glioma
data/raw/Training\glioma\gg (192).jpg,"(512, 512)",False,"(512, 512)",True,False,855e7e717ae06129,Training,glioma
data/raw/Training\glioma\gg (193).jpg,"(512, 512)",False,"(512, 512)",True,False,954e7e687ae06139,Training,glioma
data/raw/Training\glioma\gg (194).jpg,"(512, 512)",False,"(512, 512)",True,False,956a7a616aa164e7,Training,glioma
data/raw/Training\glioma\gg (195).jpg,"(512, 512)",False,"(512, 512)",True,False,953c7a65688365c7,Training,glioma
data/raw/Training\glioma\gg (196).jpg,"(512, 512)",False,"(512, 512)",True,False,97347a6761c324ce,Training,glioma
data/raw/Training\glioma\gg (197).jpg,"(512, 512)",False,"(512, 512)",True,False,954e7a526a71386d,Training,glioma
data/raw/Training\glioma\gg (198).jpg,"(512, 512)",False,"(512, 512)",True,False,9738784365daa55c,Training,glioma
data/raw/Training\glioma\gg (199).jpg,"(512, 512)",False,"(512, 512)",True,False,97387a4365caa56c,Training,glioma
data/raw/Training\glioma\gg (2).jpg,"(512, 512)",False,"(512, 512)",True,False,91653e4a3c697965,Training,glioma
data/raw/Training\glioma\gg (20).jpg,"(512, 512)",False,"(512, 512)",True,False,c26b3db4749b3348,Training,glioma
data/raw/Training\glioma\gg (200).jpg,"(512, 512)",False,"(512, 512)",True,False,97787a636946a564,Training,glioma
data/raw/Training\glioma\gg (201).jpg,"(512, 512)",False,"(512, 512)",True,False,97787a4369d22764,Training,glioma
data/raw/Training\glioma\gg (202).jpg,"(512, 512)",False,"(512, 512)",True,False,9779784769c62364,Training,glioma
data/raw/Training\glioma\gg (203).jpg,"(512, 512)",False,"(512, 512)",True,False,9578784768636b65,Training,glioma
data/raw/Training\glioma\gg (204).jpg,"(512, 512)",False,"(512, 512)",True,False,913e7a606be16563,Training,glioma
data/raw/Training\glioma\gg (205).jpg,"(512, 512)",False,"(512, 512)",True,False,913f3a607ae16d61,Training,glioma
data/raw/Training\glioma\gg (206).jpg,"(512, 512)",False,"(512, 512)",True,False,913e7a6469c427da,Training,glioma
data/raw/Training\glioma\gg (207).jpg,"(512, 512)",False,"(512, 512)",True,False,913e7a246984e79e,Training,glioma
data/raw/Training\glioma\gg (208).jpg,"(512, 512)",False,"(512, 512)",True,False,902f7a6d6095e792,Training,glioma
data/raw/Training\glioma\gg (209).jpg,"(512, 512)",False,"(512, 512)",True,False,903f7a6968856796,Training,glioma
data/raw/Training\glioma\gg (21).jpg,"(512, 512)",False,"(512, 512)",True,False,c26f3db4341bb249,Training,glioma
data/raw/Training\glioma\gg (210).jpg,"(512, 512)",False,"(512, 512)",True,False,913f7a296ce126c6,Training,glioma
data/raw/Training\glioma\gg (211).jpg,"(512, 512)",False,"(512, 512)",True,False,912e7e296ce12796,Training,glioma
data/raw/Training\glioma\gg (212).jpg,"(512, 512)",False,"(512, 512)",True,False,956b3e6a396c6125,Training,glioma
data/raw/Training\glioma\gg (213).jpg,"(512, 512)",False,"(512, 512)",True,False,957b3e6a396c6025,Training,glioma
data/raw/Training\glioma\gg (214).jpg,"(512, 512)",False,"(512, 512)",True,False,957b3e6a39e06125,Training,glioma
data/raw/Training\glioma\gg (215).jpg,"(512, 512)",False,"(512, 512)",True,False,956a3e6a39e36125,Training,glioma
data/raw/Training\glioma\gg (216).jpg,"(512, 512)",False,"(512, 512)",True,False,956b3e6869e07865,Training,glioma
data/raw/Training\glioma\gg (217).jpg,"(512, 512)",False,"(512, 512)",True,False,946b3e7861e13867,Training,glioma
data/raw/Training\glioma\gg (218).jpg,"(512, 512)",False,"(512, 512)",True,False,966b3a6861e17167,Training,glioma
data/raw/Training\glioma\gg (219).jpg,"(512, 512)",False,"(512, 512)",True,False,966d3a6a65c16566,Training,glioma
data/raw/Training\glioma\gg (22).jpg,"(512, 512)",False,"(512, 512)",True,False,c23c3ff064c7328e,Training,glioma
data/raw/Training\glioma\gg (220).jpg,"(512, 512)",False,"(512, 512)",True,False,851a1e793a727969,Training,glioma
data/raw/Training\glioma\gg (221).jpg,"(512, 512)",False,"(512, 512)",True,False,911a1e333af23b69,Training,glioma
data/raw/Training\glioma\gg (222).jpg,"(512, 512)",False,"(512, 512)",True,False,957a1e193ae23969,Training,glioma
data/raw/Training\glioma\gg (223).jpg,"(512, 512)",False,"(512, 512)",True,False,944b1a1c2ff93c65,Training,glioma
data/raw/Training\glioma\gg (224).jpg,"(512, 512)",False,"(512, 512)",True,False,95367a726949256d,Training,glioma
data/raw/Training\glioma\gg (225).jpg,"(512, 512)",False,"(512, 512)",True,False,953f3a646ae06167,Training,glioma
data/raw/Training\glioma\gg (226).jpg,"(512, 512)",False,"(512, 512)",True,False,952e1e697af06863,Training,glioma
data/raw/Training\glioma\gg (227).jpg,"(512, 512)",False,"(512, 512)",True,False,953a3e437af03863,Training,glioma
data/raw/Training\glioma\gg (228).jpg,"(512, 512)",False,"(512, 512)",True,False,855a1f477af86861,Training,glioma
data/raw/Training\glioma\gg (229).jpg,"(512, 512)",False,"(512, 512)",True,False,95421f077af83a63,Training,glioma
data/raw/Training\glioma\gg (23).jpg,"(512, 512)",False,"(512, 512)",True,False,c22d3ff064c3338e,Training,glioma
data/raw/Training\glioma\gg (230).jpg,"(512, 512)",False,"(512, 512)",True,False,94d22e9c3bde3819,Training,glioma
data/raw/Training\glioma\gg (231).jpg,"(512, 512)",False,"(512, 512)",True,False,95d23e963a9e3219,Training,glioma
data/raw/Training\glioma\gg (232).jpg,"(512, 512)",False,"(512, 512)",True,False,94c23e9e3a9e3a1c,Training,glioma
data/raw/Training\glioma\gg (233).jpg,"(512, 512)",False,"(512, 512)",True,False,841b1f5c7afe2870,Training,glioma
data/raw/Training\glioma\gg (234).jpg,"(512, 512)",False,"(512, 512)",True,False,804f1f5e7ab82e61,Training,glioma
data/raw/Training\glioma\gg (235).jpg,"(512, 512)",False,"(512, 512)",True,False,811e1f7e7a382c63,Training,glioma
data/raw/Training\glioma\gg (236).jpg,"(512, 512)",False,"(512, 512)",True,False,811e1f707af86963,Training,glioma
data/raw/Training\glioma\gg (237).jpg,"(512, 512)",False,"(512, 512)",True,False,953e3a646bc36487,Training,glioma
data/raw/Training\glioma\gg (238).jpg,"(512, 512)",False,"(512, 512)",True,False,916f3e6038e16c67,Training,glioma
data/raw/Training\glioma\gg (239).jpg,"(512, 512)",False,"(512, 512)",True,False,956c3a6569a16d66,Training,glioma
data/raw/Training\glioma\gg (24).jpg,"(512, 512)",False,"(512, 512)",True,False,c22d3df064cb339c,Training,glioma
data/raw/Training\glioma\gg (240).jpg,"(512, 512)",False,"(512, 512)",True,False,95683a6368e16d67,Training,glioma
data/raw/Training\glioma\gg (241).jpg,"(512, 512)",False,"(512, 512)",True,False,95783a6178e16567,Training,glioma
data/raw/Training\glioma\gg (242).jpg,"(512, 512)",False,"(512, 512)",True,False,874b3e246cbc3333,Training,glioma
data/raw/Training\glioma\gg (243).jpg,"(512, 512)",False,"(512, 512)",True,False,c55b3e2d68b43171,Training,glioma
data/raw/Training\glioma\gg (244).jpg,"(512, 512)",False,"(512, 512)",True,False,c03f2f6831693667,Training,glioma
data/raw/Training\glioma\gg (245).jpg,"(512, 512)",False,"(512, 512)",True,False,c03f2f6834696667,Training,glioma
data/raw/Training\glioma\gg (246).jpg,"(512, 512)",False,"(512, 512)",True,False,c03d2b7a3d696465,Training,glioma
data/raw/Training\glioma\gg (247).jpg,"(512, 512)",False,"(512, 512)",True,False,c41d6b3e61796c25,Training,glioma
data/raw/Training\glioma\gg (248).jpg,"(512, 512)",False,"(512, 512)",True,False,d23c6b64e194c79a,Training,glioma
data/raw/Training\glioma\gg (249).jpg,"(512, 512)",False,"(512, 512)",True,False,d02f7a2561b4c79a,Training,glioma
data/raw/Training\glioma\gg (25).jpg,"(512, 512)",False,"(512, 512)",True,False,c23d3dd2648b939c,Training,glioma
data/raw/Training\glioma\gg (250).jpg,"(512, 512)",False,"(512, 512)",True,False,d02f7a6563f0039e,Training,glioma
data/raw/Training\glioma\gg (251).jpg,"(512, 512)",False,"(512, 512)",True,False,d42b6a7868e521d7,Training,glioma
data/raw/Training\glioma\gg (252).jpg,"(512, 512)",False,"(512, 512)",True,False,d42f6b296cb12197,Training,glioma
data/raw/Training\glioma\gg (253).jpg,"(512, 512)",False,"(512, 512)",True,False,902f6a3866e133e7,Training,glioma
data/raw/Training\glioma\gg (254).jpg,"(512, 512)",False,"(512, 512)",True,False,d0374b7a2d5b2561,Training,glioma
data/raw/Training\glioma\gg (255).jpg,"(512, 512)",False,"(512, 512)",True,False,d0376a7e21792569,Training,glioma
data/raw/Training\glioma\gg (256).jpg,"(512, 512)",False,"(512, 512)",True,False,c0376b7e29c92c65,Training,glioma
data/raw/Training\glioma\gg (257).jpg,"(512, 512)",False,"(512, 512)",True,False,c0366e722dd96c65,Training,glioma
data/raw/Training\glioma\gg (258).jpg,"(512, 512)",False,"(512, 512)",True,False,c0372f723dc96465,Training,glioma
data/raw/Training\glioma\gg (259).jpg,"(512, 512)",False,"(512, 512)",True,False,c0372f6235c972e6,Training,glioma
data/raw/Training\glioma\gg (26).jpg,"(512, 512)",False,"(512, 512)",True,False,c1333b3d6cc46cc6,Training,glioma
data/raw/Training\glioma\gg (260).jpg,"(512, 512)",False,"(512, 512)",True,False,967c3b6065c3a4e6,Training,glioma
data/raw/Training\glioma\gg (261).jpg,"(512, 512)",False,"(512, 512)",True,False,95783e606dc32567,Training,glioma
data/raw/Training\glioma\gg (262).jpg,"(512, 512)",False,"(512, 512)",True,False,923d7a606d7066e3,Training,glioma
data/raw/Training\glioma\gg (263).jpg,"(512, 512)",False,"(512, 512)",True,False,903f7a68697027e3,Training,glioma
data/raw/Training\glioma\gg (264).jpg,"(512, 512)",False,"(512, 512)",True,False,903d7a7839e16539,Training,glioma
data/raw/Training\glioma\gg (265).jpg,"(512, 512)",False,"(512, 512)",True,False,96493c5a2d783975,Training,glioma
data/raw/Training\glioma\gg (266).jpg,"(512, 512)",False,"(512, 512)",True,False,973c7a6265cb612c,Training,glioma
data/raw/Training\glioma\gg (267).jpg,"(512, 512)",False,"(512, 512)",True,False,972c7a6360cb696c,Training,glioma
data/raw/Training\glioma\gg (268).jpg,"(512, 512)",False,"(512, 512)",True,False,95683a6368cb696d,Training,glioma
data/raw/Training\glioma\gg (269).jpg,"(512, 512)",False,"(512, 512)",True,False,95683a4668db696d,Training,glioma
data/raw/Training\glioma\gg (27).jpg,"(512, 512)",False,"(512, 512)",True,False,956e3e3b6a702865,Training,glioma
data/raw/Training\glioma\gg (270).jpg,"(512, 512)",False,"(512, 512)",True,False,956a3a466a69396d,Training,glioma
data/raw/Training\glioma\gg (271).jpg,"(512, 512)",False,"(512, 512)",True,False,966978b570c66396,Training,glioma
data/raw/Training\glioma\gg (272).jpg,"(512, 512)",False,"(512, 512)",True,False,966978b570c66396,Training,glioma
data/raw/Training\glioma\gg (273).jpg,"(512, 512)",False,"(512, 512)",True,False,97786865278732ce,Training,glioma
data/raw/Training\glioma\gg (274).jpg,"(512, 512)",False,"(512, 512)",True,False,87796a6461c7669a,Training,glioma
data/raw/Training\glioma\gg (275).jpg,"(512, 512)",False,"(512, 512)",True,False,87787a2565936696,Training,glioma
data/raw/Training\glioma\gg (276).jpg,"(512, 512)",False,"(512, 512)",True,False,87787a2565866e96,Training,glioma
data/raw/Training\glioma\gg (277).jpg,"(512, 512)",False,"(512, 512)",True,False,87787a2164e66d96,Training,glioma
data/raw/Training\glioma\gg (278).jpg,"(512, 512)",False,"(512, 512)",True,False,87787a6934c66996,Training,glioma
data/raw/Training\glioma\gg (279).jpg,"(512, 512)",False,"(512, 512)",True,False,c7383a6936a67893,Training,glioma
data/raw/Training\glioma\gg (28).jpg,"(512, 512)",False,"(512, 512)",True,False,95623e5b6a786863,Training,glioma
data/raw/Training\glioma\gg (280).jpg,"(512, 512)",False,"(512, 512)",True,False,c73c3b2924e73893,Training,glioma
data/raw/Training\glioma\gg (281).jpg,"(512, 512)",False,"(512, 512)",True,False,86693e2f69b62169,Training,glioma
data/raw/Training\glioma\gg (282).jpg,"(512, 512)",False,"(512, 512)",True,False,96693e2f69966069,Training,glioma
data/raw/Training\glioma\gg (283).jpg,"(512, 512)",False,"(512, 512)",True,False,96693e2e39c77031,Training,glioma
data/raw/Training\glioma\gg (284).jpg,"(512, 512)",False,"(512, 512)",True,False,96613a3f39e63834,Training,glioma
data/raw/Training\glioma\gg (285).jpg,"(512, 512)",False,"(512, 512)",True,False,96613e3e3dc17834,Training,glioma
data/raw/Training\glioma\gg (286).jpg,"(512, 512)",False,"(512, 512)",True,False,c2e03f4b3d66643c,Training,glioma
data/raw/Training\glioma\gg (287).jpg,"(512, 512)",False,"(512, 512)",True,False,c2cc3d313c6d7136,Training,glioma
data/raw/Training\glioma\gg (288).jpg,"(512, 512)",False,"(512, 512)",True,False,c2c93f0b6d3e6438,Training,glioma
data/raw/Training\glioma\gg (289).jpg,"(512, 512)",False,"(512, 512)",True,False,c2c93e0f693ea178,Training,glioma
data/raw/Training\glioma\gg (29).jpg,"(512, 512)",False,"(512, 512)",True,False,857a7e4b3a706839,Training,glioma
data/raw/Training\glioma\gg (290).jpg,"(512, 512)",False,"(512, 512)",True,False,c2c93f9e2d2e3069,Training,glioma
data/raw/Training\glioma\gg (291).jpg,"(512, 512)",False,"(512, 512)",True,False,c6c83b9b6d4c3169,Training,glioma
data/raw/Training\glioma\gg (292).jpg,"(512, 512)",False,"(512, 512)",True,False,c2c83b9d6c793178,Training,glioma
data/raw/Training\glioma\gg (293).jpg,"(512, 512)",False,"(512, 512)",True,False,c2d93b1c6c793165,Training,glioma
data/raw/Training\glioma\gg (294).jpg,"(512, 512)",False,"(512, 512)",True,False,c2c93e0f693ea178,Training,glioma
data/raw/Training\glioma\gg (295).jpg,"(512, 512)",False,"(512, 512)",True,False,c2983d363c797466,Training,glioma
data/raw/Training\glioma\gg (296).jpg,"(512, 512)",False,"(512, 512)",True,False,946b3e2b399c682d,Training,glioma
data/raw/Training\glioma\gg (297).jpg,"(512, 512)",False,"(512, 512)",True,False,855a7ea97924706d,Training,glioma
data/raw/Training\glioma\gg (298).jpg,"(512, 512)",False,"(512, 512)",True,False,855a7eb968e13865,Training,glioma
data/raw/Training\glioma\gg (299).jpg,"(512, 512)",False,"(512, 512)",True,False,854b7e7c69e13825,Training,glioma
data/raw/Training\glioma\gg (3).jpg,"(512, 512)",False,"(512, 512)",True,False,97977ace60193165,Training,glioma
data/raw/Training\glioma\gg (30).jpg,"(512, 512)",False,"(512, 512)",True,False,914a7e793a786929,Training,glioma
data/raw/Training\glioma\gg (300).jpg,"(512, 512)",False,"(512, 512)",True,False,96c92f0f3cc9383c,Training,glioma
data/raw/Training\glioma\gg (301).jpg,"(512, 512)",False,"(512, 512)",True,False,86617a0f3d592d3c,Training,glioma
data/raw/Training\glioma\gg (302).jpg,"(512, 512)",False,"(512, 512)",True,False,c6613e6e3d3c6825,Training,glioma
data/raw/Training\glioma\gg (303).jpg,"(512, 512)",False,"(512, 512)",True,False,874a2f3d78ac6631,Training,glioma
